,isco_level_1,isco_label_1,share_green_gtp_mean,n_occ_esco_sum,share_green_esco_mean,share_brown_esco_mean,share_neutral_esco_mean,isco_code,isco_level_2,isco_label_2,isco_level_3,isco_label_3,isco_level_4,isco_label_4
228,,,0.30434782608695654,2.0,0.17777777777777778,0.016666666666666666,0.8055555555555556,2161,,,,,2161,Building architects
229,,,0.2631578947368421,2.0,0.24342105263157893,0.0,0.756578947368421,2162,,,,,2162,Landscape architects
230,,,0.15,15.0,0.014128742834625186,0.014559908890791244,0.9713113482745837,2163,,,,,2163,Product and garment designers
231,,,0.29106858054226475,4.0,0.10453080140580141,0.0,0.8954691985941986,2164,,,,,2164,Town and traffic planners
232,,,0.0,6.0,0.02888218048101769,0.03673744523087293,0.9343803742881094,2165,,,,,2165,Cartographers and surveyors
233,,,0.0,15.0,0.0009950248756218905,0.002564102564102564,0.9964408725602756,2166,,,,,2166,Graphic and multimedia designers
234,,,0.0,1.0,0.0,0.0,1.0,2211,,,,,2211,Generalist medical practitioners
235,,,0.0,1.0,0.0,0.0,1.0,2212,,,,,2212,Specialist medical practitioners
236,,,0.0,3.0,0.0,0.0,1.0,2221,,,,,2221,Nursing professionals
237,,,0.0,1.0,0.0,0.0,1.0,2222,,,,,2222,Midwifery professionals
238,,,0.0,5.0,0.002531645569620253,0.0,0.9974683544303797,2230,,,,,2230,Traditional and complementary medicine professionals
239,,,0.0,11.0,0.12034308486296395,0.0,0.879656915137036,2250,,,,,2250,Veterinarians
240,,,0.0,2.0,0.0,0.0,1.0,2261,,,,,2261,Dentists
241,,,0.0,5.0,0.016582138400320218,0.0404848013938923,0.9429330602057874,2262,,,,,2262,Pharmacists
242,,,0.0,6.0,0.16236096673596676,0.0,0.8376390332640332,2263,,,,,2263,Environmental and occupational health and hygiene professionals
243,,,0.0,2.0,0.0,0.0,1.0,2264,,,,,2264,Physiotherapists
244,,,0.0,2.0,0.013513513513513514,0.0,0.9864864864864865,2265,,,,,2265,Dieticians and nutritionists
245,,,0.0,2.0,0.0,0.0,1.0,2266,,,,,2266,Audiologists and speech therapists
246,,,0.0,2.0,0.0,0.0,1.0,2267,,,,,2267,Optometrists and ophthalmic opticians
247,,,0.0,17.0,0.009372072859471484,0.0,0.9906279271405286,2269,,,,,2269,Health professionals not elsewhere classified
248,,,0.0,45.0,0.0030257601718351717,0.0021892292932099706,0.9947850105349548,2310,,,,,2310,University and higher education teachers
