EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
3511,99,10651.796,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3512,1419,159870.026,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3513,139,14826.7,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3514,9,942.152,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3521,235,26582.944,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3522,448,49478.81,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4110,9,908.311,0.666666667,0.666666667,0,0,0.333333333,0.333333333,1,1,0,0,0,0,1,1,0,0,0,0
4120,12793,1376926.695,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4131,245,26631.327,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4132,1936,215153.411,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4211,3508,375081.191,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4212,91,9813.775,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4213,3,340.374,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4214,11,1166.628,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4221,883,95900.603,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4222,648,72137.841,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4224,1146,128516.375,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4225,14,1599.605,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4226,109,12142.508,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4227,44,4826.025,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4311,2399,261557.781,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4312,1995,215278.89,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4321,5555,628610.566,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4322,11538,1237904.008,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4323,1768,196375.539,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4411,75,8136.813,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4412,1625,185686.693,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4413,64,7035.233,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4415,53,5489.598,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4416,743,81481.815,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
4419,1180,131407.988,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5111,372,42195.169,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5112,193,21127.907,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5113,85,9374.592,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5120,2509,295837.836,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5131,4708,548672.573,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5132,220,27858.196,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5141,1725,190982.449,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5142,1366,150394.601,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5151,1823,197061.915,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5152,82,8837.148,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5153,3696,403184.324,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5163,131,13769.147,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
5164,427,47030.444,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
